"","Date","DateTime","isCar","Municipality_Code","Reason","Count"
"305",2012-01-26,2012-01-26 00:40:00,"1","0184","Other Reason",1
"306",2012-01-26,2012-01-26 01:59:00,"1","1383","Other Reason",1
"307",2012-01-26,2012-01-26 06:21:00,"1","2081","Technical Malfunctioning",1
"308",2012-01-26,2012-01-26 07:00:00,"1","1283","Technical Malfunctioning",1
"309",2012-01-26,2012-01-26 11:12:00,"1","1280","Technical Malfunctioning",1
"310",2012-01-26,2012-01-26 14:31:00,"1","2080","Other Reason",1
"311",2012-01-26,2012-01-26 14:36:00,"1","0680","Other Reason",1
"312",2012-01-26,2012-01-26 15:55:00,"1","1491","Other Reason",1
"313",2012-01-26,2012-01-26 16:48:00,"1","0380","Other Reason",1
"314",2012-01-26,2012-01-26 19:01:00,"1","1283","Technical Malfunctioning",1
"315",2012-01-26,2012-01-26 22:12:00,"1","0127","Arson",1
"316",2012-01-26,2012-01-26 23:54:00,"1","1961","Arson",1
"317",2012-01-27,2012-01-27 00:06:00,"1","0127","Arson",1
"318",2012-01-27,2012-01-27 01:01:00,"1","0484","Other Reason",1
"319",2012-01-27,2012-01-27 13:00:00,"1","1415","Technical Malfunctioning",1
"320",2012-01-27,2012-01-27 14:55:00,"1","1763","Other Reason",1
"321",2012-01-27,2012-01-27 15:08:00,"0","2080","Other Reason",1
"322",2012-01-27,2012-01-27 21:46:00,"1","1283","Other Reason",1
"323",2012-01-27,2012-01-27 22:24:00,"1","0861","Other Reason",1
"324",2012-01-28,2012-01-28 01:36:00,"0","0180","Other Reason",1
"325",2012-01-28,2012-01-28 01:58:00,"1","1480","Arson",1
"326",2012-01-28,2012-01-28 02:01:00,"1","1471","Other Reason",1
"327",2012-01-28,2012-01-28 02:10:00,"1","1480","Arson",1
"328",2012-01-28,2012-01-28 02:49:00,"1","1380","Arson",1
"329",2012-01-28,2012-01-28 03:48:00,"1","0181","Other Reason",1
"330",2012-01-28,2012-01-28 04:10:00,"1","0482","Arson",1
"331",2012-01-28,2012-01-28 06:05:00,"1","0136","Other Reason",1
"332",2012-01-28,2012-01-28 12:37:00,"1","1864","Technical Malfunctioning",1
"333",2012-01-28,2012-01-28 16:44:00,"1","0180","Other Reason",1
"334",2012-01-28,2012-01-28 16:48:00,"1","1285","Other Reason",1
"335",2012-01-28,2012-01-28 18:34:00,"1","0180","Other Reason",1
"336",2012-01-28,2012-01-28 18:59:00,"1","1443","Technical Malfunctioning",1
"337",2012-01-28,2012-01-28 19:32:00,"1","0136","Other Reason",1
"338",2012-01-28,2012-01-28 20:07:00,"1","1280","Arson",1
"339",2012-01-28,2012-01-28 21:20:00,"1","0319","Other Reason",1
"340",2012-01-28,2012-01-28 22:32:00,"1","2023","Other Reason",1
"341",2012-01-28,2012-01-28 22:51:00,"1","0125","Technical Malfunctioning",1
"342",2012-01-28,2012-01-28 23:23:00,"1","0180","Other Reason",1
"343",2012-01-29,2012-01-29 00:32:00,"1","1880","Arson",1
"344",2012-01-29,2012-01-29 00:54:00,"1","0380","Arson",1
"345",2012-01-29,2012-01-29 00:56:00,"1","0180","Other Reason",1
"346",2012-01-29,2012-01-29 03:00:00,"1","1380","Arson",1
"347",2012-01-29,2012-01-29 17:03:00,"1","0181","Other Reason",1
