"","Date","DateTime","isCar","Municipality_Code","Reason","Weekday","Temperature","Precipitation","Holidays","Christmas_Holidays","Sport_Holidays","Easter_Holidays","Summer_Holidays","Autumn_Holidays","Count"
"4061",2015-08-29,2015-08-29 01:28:00,"1","0180","Other Reason","lördag",17.4,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"4062",2015-08-29,2015-08-29 03:11:00,"0","0181","Arson","lördag",16.9,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"4063",2015-08-29,2015-08-29 23:09:00,"1","0115","Arson","lördag",16.8,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"4064",2015-08-30,2015-08-30 00:04:00,"1","0180","Arson","söndag",16.4,0.8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5
"4065",2015-08-30,2015-08-30 00:50:00,"1","0120","Arson","söndag",16.2,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"4066",2015-08-30,2015-08-30 02:14:00,"1","0180","Arson","söndag",16.4,0.8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5
"4067",2015-08-30,2015-08-30 09:06:00,"1","0114","Other Reason","söndag",15.8,1.6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"4068",2015-08-30,2015-08-30 14:09:00,"0","0181","Other Reason","söndag",16.1,0.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"4069",2015-08-30,2015-08-30 22:11:00,"0","0127","Arson","söndag",15.9,0.6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"4070",2015-08-30,2015-08-30 23:30:00,"1","0180","Arson","söndag",16.4,0.8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5
"4071",2015-08-30,2015-08-30 23:57:00,"1","0180","Arson","söndag",16.4,0.8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5
"4072",2015-08-30,2015-08-30 23:58:00,"1","0180","Arson","söndag",16.4,0.8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5
"4073",2015-08-31,2015-08-31 02:26:00,"1","0180","Other Reason","måndag",16.4,2.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2
"4074",2015-08-31,2015-08-31 19:40:00,"1","0180","Other Reason","måndag",16.4,2.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2
"4075",2015-08-31,2015-08-31 22:15:00,"1","0181","Arson","måndag",15.5,3.7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"4076",2015-09-01,2015-09-01 03:10:00,"0","0127","Other Reason","tisdag",14.2,14.8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"4077",2015-09-01,2015-09-01 10:16:00,"0","0120","Technical Malfunctioning","tisdag",14.6,19.7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"4078",2015-09-02,2015-09-02 01:10:00,"1","0163","Arson","onsdag",14,6.8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"4079",2015-09-03,2015-09-03 03:01:00,"1","0126","Arson","torsdag",15.2,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"4080",2015-09-04,2015-09-04 00:02:00,"1","0136","Other Reason","fredag",12.6,0.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"4081",2015-09-04,2015-09-04 02:03:00,"1","0192","Other Reason","fredag",13.9,0.8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2
"4082",2015-09-04,2015-09-04 02:55:00,"1","0192","Other Reason","fredag",13.9,0.8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2
"4083",2015-09-04,2015-09-04 03:42:00,"1","0184","Arson","fredag",12.7,0.4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"4084",2015-09-04,2015-09-04 16:10:00,"1","0188","Other Reason","fredag",12.8,0.7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"4085",2015-09-05,2015-09-05 02:27:00,"1","0192","Other Reason","lördag",14,15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"4086",2015-09-05,2015-09-05 15:21:00,"1","0180","Technical Malfunctioning","lördag",14,30.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"4087",2015-09-06,2015-09-06 02:14:00,"1","0191","Other Reason","söndag",11.9,19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"4088",2015-09-06,2015-09-06 03:38:00,"1","0127","Other Reason","söndag",11.6,19.9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"4089",2015-09-06,2015-09-06 21:14:00,"1","0180","Other Reason","söndag",12,21.8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"4090",2015-09-07,2015-09-07 00:11:00,"1","0180","Arson","måndag",12.6,0.4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2
"4091",2015-09-07,2015-09-07 00:35:00,"1","0191","Arson","måndag",12,0.4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
