Date,Time,Type_of_Vehicle,Municipality_Code,Municipality_Name,Type_of_Municipality_Code,Type_of_Muncipality,Reason,Year,Quarter,Month,Day,Weekday,Hour,Minute,Region_Code,Week,Holidays,Christmas_Holidays,Sport_Holidays,Easter_Holidays,Summer_Holidays,Autumn_Holidays,Temperature,Precipitation
2012-01-18T00:00:00Z,1899-12-31T01:06:00Z,Personbil,0127,Botkyrka,2,Pendlingskommun nära storstad,Unknown,2012,1,1,18,Wednesday,0,0,1,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.4,1.4
2012-01-18T00:00:00Z,1899-12-31T02:28:00Z,Personbil,0184,Solna,2,Pendlingskommun nära storstad,Other Reason,2012,1,1,18,Wednesday,0,0,1,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.5,1.3
2012-01-18T00:00:00Z,1899-12-31T21:36:00Z,Personbil,0127,Botkyrka,2,Pendlingskommun nära storstad,Unknown,2012,1,1,18,Wednesday,0,0,1,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.4,1.4
2012-01-19T00:00:00Z,1899-12-31T04:20:00Z,Personbil,0123,Järfälla,2,Pendlingskommun nära storstad,Arson,2012,1,1,19,Thursday,0,0,1,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.4,0.1
2012-01-21T00:00:00Z,1899-12-31T01:14:00Z,Personbil,0180,Stockholm,1,Storstäder,Arson,2012,1,1,21,Saturday,0,0,1,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-2.7,2.3
2012-01-21T00:00:00Z,1899-12-31T20:16:00Z,Personbil,0180,Stockholm,1,Storstäder,Arson,2012,1,1,21,Saturday,0,0,1,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-2.7,2.3
2012-01-21T00:00:00Z,1899-12-31T22:02:00Z,Personbil,0180,Stockholm,1,Storstäder,Arson,2012,1,1,21,Saturday,0,0,1,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-2.7,2.3
2012-01-22T00:00:00Z,1899-12-31T01:23:00Z,Personbil,0126,Huddinge,2,Pendlingskommun nära storstad,Unknown,2012,1,1,22,Sunday,0,0,1,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,4.8
2012-01-22T00:00:00Z,1899-12-31T05:18:00Z,Personbil,0180,Stockholm,1,Storstäder,Arson,2012,1,1,22,Sunday,0,0,1,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.3,3.9
2012-01-22T00:00:00Z,1899-12-31T18:39:00Z,Övriga vägfordon,0180,Stockholm,1,Storstäder,Technical Malfunctioning,2012,1,1,22,Sunday,0,0,1,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.3,3.9
2012-01-22T00:00:00Z,1899-12-31T21:01:00Z,Övriga vägfordon,0180,Stockholm,1,Storstäder,Unknown,2012,1,1,22,Sunday,0,0,1,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.3,3.9
2012-01-22T00:00:00Z,1899-12-31T23:20:00Z,Personbil,0126,Huddinge,2,Pendlingskommun nära storstad,Arson,2012,1,1,22,Sunday,0,0,1,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,4.8
2012-01-23T00:00:00Z,1899-12-31T01:34:00Z,Personbil,0180,Stockholm,1,Storstäder,Arson,2012,1,1,23,Monday,0,0,1,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-1.9,0.6
2012-01-23T00:00:00Z,1899-12-31T18:59:00Z,Personbil,0127,Botkyrka,2,Pendlingskommun nära storstad,Unknown,2012,1,1,23,Monday,0,0,1,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-2.6,0.8
2012-01-23T00:00:00Z,1899-12-31T19:00:00Z,Personbil,0191,Sigtuna,2,Pendlingskommun nära storstad,Unknown,2012,1,1,23,Monday,0,0,1,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-3.6,0.1
2012-01-24T00:00:00Z,1899-12-31T23:06:00Z,Personbil,0181,Södertälje,3,Större stad,Unknown,2012,1,1,24,Tuesday,0,0,1,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-2.7,0.3
2012-01-25T00:00:00Z,1899-12-31T05:12:00Z,Personbil,0127,Botkyrka,2,Pendlingskommun nära storstad,Unknown,2012,1,1,25,Wednesday,0,0,1,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-4.1,0.1
2012-01-25T00:00:00Z,1899-12-31T20:14:00Z,Personbil,0191,Sigtuna,2,Pendlingskommun nära storstad,Technical Malfunctioning,2012,1,1,25,Wednesday,0,0,1,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-4,0
2012-01-26T00:00:00Z,1899-12-31T00:40:00Z,Personbil,0184,Solna,2,Pendlingskommun nära storstad,Unknown,2012,1,1,26,Thursday,0,0,1,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-1.6,0.7
2012-01-26T00:00:00Z,1899-12-31T22:12:00Z,Personbil,0127,Botkyrka,2,Pendlingskommun nära storstad,Arson,2012,1,1,26,Thursday,0,0,1,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-1.8,0.6
2012-01-27T00:00:00Z,1899-12-31T00:06:00Z,Personbil,0127,Botkyrka,2,Pendlingskommun nära storstad,Arson,2012,1,1,27,Friday,0,0,1,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-1.8,0
2012-01-28T00:00:00Z,1899-12-31T01:36:00Z,Övriga vägfordon,0180,Stockholm,1,Storstäder,Other Reason,2012,1,1,28,Saturday,0,0,1,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-1.9,0
2012-01-28T00:00:00Z,1899-12-31T03:48:00Z,Personbil,0181,Södertälje,3,Större stad,Unknown,2012,1,1,28,Saturday,0,0,1,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-2.4,0
2012-01-28T00:00:00Z,1899-12-31T06:05:00Z,"Personbil, Övriga vägfordon",0136,Haninge,2,Pendlingskommun nära storstad,Unknown,2012,1,1,28,Saturday,0,0,1,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-2.2,0
2012-01-28T00:00:00Z,1899-12-31T16:44:00Z,Personbil,0180,Stockholm,1,Storstäder,Unknown,2012,1,1,28,Saturday,0,0,1,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-1.9,0
2012-01-28T00:00:00Z,1899-12-31T18:34:00Z,Personbil,0180,Stockholm,1,Storstäder,Unknown,2012,1,1,28,Saturday,0,0,1,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-1.9,0
2012-01-28T00:00:00Z,1899-12-31T19:32:00Z,Personbil,0136,Haninge,2,Pendlingskommun nära storstad,Unknown,2012,1,1,28,Saturday,0,0,1,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-2.2,0
2012-01-28T00:00:00Z,1899-12-31T22:51:00Z,Personbil,0125,Ekerö,2,Pendlingskommun nära storstad,Technical Malfunctioning,2012,1,1,28,Saturday,0,0,1,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-2.2,0
2012-01-28T00:00:00Z,1899-12-31T23:23:00Z,Personbil,0180,Stockholm,1,Storstäder,Unknown,2012,1,1,28,Saturday,0,0,1,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-1.9,0
2012-01-29T00:00:00Z,1899-12-31T00:56:00Z,Personbil,0180,Stockholm,1,Storstäder,Unknown,2012,1,1,29,Sunday,0,0,1,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-3.3,0
2012-01-29T00:00:00Z,1899-12-31T17:03:00Z,Personbil,0181,Södertälje,3,Större stad,Unknown,2012,1,1,29,Sunday,0,0,1,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-4.9,0
2012-01-30T00:00:00Z,1899-12-31T00:54:00Z,Personbil,0181,Södertälje,3,Större stad,Unknown,2012,1,1,30,Monday,0,0,1,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-7.9,0
2012-01-30T00:00:00Z,1899-12-31T06:47:00Z,Personbil,0163,Sollentuna,2,Pendlingskommun nära storstad,Unknown,2012,1,1,30,Monday,0,0,1,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-6.8,0
2012-01-30T00:00:00Z,1899-12-31T08:27:00Z,Övriga vägfordon,0180,Stockholm,1,Storstäder,Technical Malfunctioning,2012,1,1,30,Monday,0,0,1,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-5.6,0
2012-02-01T00:00:00Z,1899-12-31T01:30:00Z,Personbil,0191,Sigtuna,2,Pendlingskommun nära storstad,Unknown,2012,1,2,1,Wednesday,0,0,1,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-8.7,0.2
2012-02-01T00:00:00Z,1899-12-31T03:35:00Z,Personbil,0187,Vaxholm,2,Pendlingskommun nära storstad,Technical Malfunctioning,2012,1,2,1,Wednesday,0,0,1,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-7.3,0.4
2012-02-01T00:00:00Z,1899-12-31T17:59:00Z,Övriga vägfordon,0127,Botkyrka,2,Pendlingskommun nära storstad,Arson,2012,1,2,1,Wednesday,0,0,1,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-8.1,0.3
2012-02-01T00:00:00Z,1899-12-31T18:11:00Z,Personbil,0191,Sigtuna,2,Pendlingskommun nära storstad,Technical Malfunctioning,2012,1,2,1,Wednesday,0,0,1,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-8.7,0.2
2012-02-02T00:00:00Z,1899-12-31T07:21:00Z,Övriga vägfordon,0187,Vaxholm,2,Pendlingskommun nära storstad,Other Reason,2012,1,2,2,Thursday,0,0,1,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-10.8,4
2012-02-02T00:00:00Z,1899-12-31T08:24:00Z,Övriga vägfordon,0180,Stockholm,1,Storstäder,Technical Malfunctioning,2012,1,2,2,Thursday,0,0,1,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-11.1,2.2
2012-02-02T00:00:00Z,1899-12-31T13:20:00Z,Personbil,0180,Stockholm,1,Storstäder,Other Reason,2012,1,2,2,Thursday,0,0,1,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-11.1,2.2
2012-02-02T00:00:00Z,1899-12-31T14:17:00Z,Personbil,0115,Vallentuna,2,Pendlingskommun nära storstad,Unknown,2012,1,2,2,Thursday,0,0,1,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-12,1.8
2012-02-02T00:00:00Z,1899-12-31T22:43:00Z,Personbil,0127,Botkyrka,2,Pendlingskommun nära storstad,Unknown,2012,1,2,2,Thursday,0,0,1,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-12.1,1.2
2012-02-02T00:00:00Z,1899-12-31T23:33:00Z,Personbil,0180,Stockholm,1,Storstäder,Arson,2012,1,2,2,Thursday,0,0,1,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-11.1,2.2
2012-02-03T00:00:00Z,1899-12-31T01:44:00Z,Personbil,0180,Stockholm,1,Storstäder,Arson,2012,1,2,3,Friday,0,0,1,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-11.9,2.9
2012-02-03T00:00:00Z,1899-12-31T05:48:00Z,Personbil,0115,Vallentuna,2,Pendlingskommun nära storstad,Unknown,2012,1,2,3,Friday,0,0,1,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-12.4,1.7
