"","Municipality_Code","Municipality_Name","Type_of_Municipality_Code","Type_of_Muncipality","Region_Code","Count"
"227","2023","Malung-Sälen",9,"Landsbygdskommun med besöksnäring",20,50
"228","2034","Orsa",9,"Landsbygdskommun med besöksnäring",20,27
"229","2031","Rättvik",9,"Landsbygdskommun med besöksnäring",20,48
"230","2084","Avesta",6,"Mindre stad/tätort",20,68
"231","2080","Falun",6,"Mindre stad/tätort",20,189
"232","2083","Hedemora",7,"Pendlingskommun nära mindre tätort",20,49
"233","2061","Smedjebacken",7,"Pendlingskommun nära mindre tätort",20,40
"234","2026","Gagnef",4,"Pendlingskommun nära större stad",20,23
"235","2082","Säter",4,"Pendlingskommun nära större stad",20,55
"236","2081","Borlänge",3,"Större stad",20,221
"237","2104","Hofors",5,"Lågpendlingskommun nära större stad",21,19
"238","2101","Ockelbo",5,"Lågpendlingskommun nära större stad",21,20
"239","2181","Sandviken",5,"Lågpendlingskommun nära större stad",21,112
"240","2183","Bollnäs",8,"Landsbygdskommun",21,69
"241","2161","Ljusdal",8,"Landsbygdskommun",21,58
"242","2121","Ovanåker",8,"Landsbygdskommun",21,26
"243","2182","Söderhamn",8,"Landsbygdskommun",21,92
"244","2184","Hudiksvall",6,"Mindre stad/tätort",21,142
"245","2132","Nordanstig",7,"Pendlingskommun nära mindre tätort",21,36
"246","2180","Gävle",3,"Större stad",21,355
"247","2260","Ånge",8,"Landsbygdskommun",22,34
"248","2282","Kramfors",8,"Landsbygdskommun",22,110
"249","2283","Sollefteå",8,"Landsbygdskommun",22,114
"250","2280","Härnösand",6,"Mindre stad/tätort",22,123
"251","2284","Örnsköldsvik",6,"Mindre stad/tätort",22,151
"252","2262","Timrå",4,"Pendlingskommun nära större stad",22,146
"253","2281","Sundsvall",3,"Större stad",22,400
"254","2326","Berg",5,"Lågpendlingskommun nära större stad",23,23
"255","2305","Bräcke",5,"Lågpendlingskommun nära större stad",23,30
"256","2303","Ragunda",8,"Landsbygdskommun",23,22
"257","2313","Strömsund",8,"Landsbygdskommun",23,46
"258","2321","Åre",9,"Landsbygdskommun med besöksnäring",23,23
"259","2361","Härjedalen",9,"Landsbygdskommun med besöksnäring",23,40
"260","2309","Krokom",4,"Pendlingskommun nära större stad",23,33
"261","2380","Östersund",3,"Större stad",23,115
"262","2409","Robertsfors",5,"Lågpendlingskommun nära större stad",24,18
"263","2404","Vindeln",5,"Lågpendlingskommun nära större stad",24,22
"264","2463","Åsele",8,"Landsbygdskommun",24,8
"265","2425","Dorotea",8,"Landsbygdskommun",24,7
"266","2481","Lycksele",8,"Landsbygdskommun",24,42
"267","2418","Malå",8,"Landsbygdskommun",24,2
"268","2417","Norsjö",8,"Landsbygdskommun",24,12
"269","2422","Sorsele",8,"Landsbygdskommun",24,4
"270","2462","Vilhelmina",8,"Landsbygdskommun",24,29
"271","2421","Storuman",9,"Landsbygdskommun med besöksnäring",24,16
"272","2482","Skellefteå",6,"Mindre stad/tätort",24,195
"273","2403","Bjurholm",4,"Pendlingskommun nära större stad",24,10
"274","2401","Nordmaling",4,"Pendlingskommun nära större stad",24,31
"275","2460","Vännäs",4,"Pendlingskommun nära större stad",24,30
"276","2480","Umeå",3,"Större stad",24,214
"277","2560","Älvsbyn",5,"Lågpendlingskommun nära större stad",25,37
"278","2582","Boden",5,"Lågpendlingskommun nära större stad",25,123
"279","2505","Arvidsjaur",8,"Landsbygdskommun",25,20
"280","2523","Gällivare",8,"Landsbygdskommun",25,67
"281","2583","Haparanda",8,"Landsbygdskommun",25,48
"282","2510","Jokkmokk",8,"Landsbygdskommun",25,24
"283","2514","Kalix",8,"Landsbygdskommun",25,116
"284","2513","Överkalix",8,"Landsbygdskommun",25,29
"285","2518","Övertorneå",8,"Landsbygdskommun",25,17
"286","2521","Pajala",8,"Landsbygdskommun",25,12
"287","2506","Arjeplog",9,"Landsbygdskommun med besöksnäring",25,17
"288","2584","Kiruna",6,"Mindre stad/tätort",25,66
"289","2581","Piteå",6,"Mindre stad/tätort",25,113
"290","2580","Luleå",3,"Större stad",25,251
